Gender, Age, Debt, Married_status, BankCustomer, EducationLevel, Ethnicity, YearsEmployed, NoPriorDefault, Employed, CreditScore, DriversLicense, Citizen, ZipCode, Income,Tweet,ApprovalStatus
a,47.42,8,u,g,e,bb,6.5,t,t,6,f,g,375,51100,"RT @TheBubbleBubble: Amazon's Powerful Bull Market Could End, @DougKass Reveals: https://t.co/xWY0xNoqRy $AMZN $QQQ",+
b,36.25,5,u,g,c,bb,2.5,t,t,6,f,g,0,367,"RT DougKass ""RT TheBubbleBubble: Amazon's Powerful Bull Market Could End, DougKass Reveals: https://t.co/2t83z9Cq34 $AMZN $QQQ""",+
b,32.67,5.5,u,g,q,h,5.5,t,t,12,t,g,408,1000,"Aug 31 Thursday, $AMZN closed $980.60",+
b,48.58,6.5,u,g,q,h,6,t,f,0,t,g,350,0,"Bashers bring up $20m debt as the reason why $OMVS sold off.  That means, I'm gonna make a lot of money with my $AMZN Jan 2018 $300 Puts",+
b,39.92,0.54,y,p,aa,v,0.5,t,t,3,f,g,200,1000,I mention your company in this must see TV. Click to see. $VRX $PeP $TWTR $CRM $FB $AGN $AMZN https://t.co/IbZnElrVoC,+
b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,204,0,$AMZN Politico rides wave of Brexit interest with new UK news service Now on https://t.co/NVD0eLru2c,+
a,18.83,9.5,u,g,w,v,1.625,t,t,6,t,g,40,600,"RT @NASDboy: $AMZN followed the big money yesterday and today , was down 55 percent (yes I didn't sell) now up 155 percent #study https://t…",+
a,26.92,13.5,u,g,q,h,5,t,t,2,f,g,0,5000,RT @WhatILearnedTW: Tech giants now far outpacing all others in R&amp;D spending: $AMZN recently beat out VW to become biggest corp R&amp;D spender…,+
a,31.25,3.75,u,g,cc,h,0.625,t,t,9,t,g,181,0,BlackBerry an Investment of a Lifetime -by REALALOY @BlacKBerry $BBRY $AAPL $MSFT $GOOGL $AMZN $FB $NVDA $QCOM $INTC https://t.co/13WlOeFigA,+
a,56.5,16,u,g,j,ff,0,t,t,15,f,g,0,247,"$AMZN ""Amazon is buying Whole Foods for $13.7 billion"" on InvestorVillage message boards: https://t.co/lclIT50ztF",+
b,43,0.29,y,p,cc,h,1.75,t,t,8,f,g,100,375,Here's what @TimothyLutts thinks you should do with $AMZN #stock https://t.co/4WppP9kQ8D,+
b,22.33,11,u,g,w,v,2,t,t,1,f,g,80,278,Beginning To Understand The Whole Foods' Pricing Dynamic #food #economics  https://t.co/iIoB0AVpub $AMZN $HAIN $UNFI  via @benzinga,+
b,27.25,1.665,u,g,cc,h,5.085,t,t,9,f,g,399,827,RT @option_snipper: $BIDU big-picture on 5-yr. MONSTER b/o - better than $aapl $nflx $amzn $fb. BEST strategy is use big $$ play Oct/Dec/Ja…,+
b,32.83,2.5,u,g,cc,h,2.75,t,t,6,f,g,160,2072,$SPY @realDonaldTrump #MOAB #NorthKorea 2 Ashes? $SPX $QQQ $IWM $ES $IBB $AAPL $NFLX $AMZN $FB $GS $BAC $JPM $BABA… https://t.co/eY7wgJSvht,+
b,23.25,1.5,u,g,q,v,2.375,t,t,3,t,g,0,582,RT @KASDad: $AMZN announcements re Whole Foods integration not cherished by $COST traders. $SPX $NDX $IWM https://t.co/st1z8G8y89,+
a,40.33,7.54,y,p,q,h,8,t,t,14,f,g,0,2300,"$AMZN ""If GDP is rising and unemployment is at"" on ADFN InvestorsHub message boards: https://t.co/7ymAJPijtO",+
a,30.5,6.5,u,g,c,bb,4,t,t,7,t,g,0,3065,"Roku: Great Product, Bad Business? https://t.co/TxSixwEu0Z $GOOG $GOOGL $AMZN $AAPL $ROKU #Roku",+
a,52.83,15,u,g,c,v,5.5,t,t,14,f,g,0,2200,"RT SeekingAlpha ""Roku: Great Product, Bad Business? https://t.co/t0QD23of5W $GOOG #GOOGLE $GOOGL $AMZN $AAPL $ROKU""",+
a,46.67,0.46,u,g,cc,h,0.415,t,t,11,t,g,440,6,EQUITY CLOCK ..cont'd https://t.co/ui6Vc2EHVd  #SEASONALITY $AMZN $GOOGL $PCLN $TSLA https://t.co/RjZYtuQhJv,+
a,58.33,10,u,g,q,v,4,t,t,14,f,g,0,1602,NEW POST: Stocks to Watch $ABBV $ANTM $CELG $CNC $COG $GILD $MCHP $TMO $WYNN $AMZN $FDX $NFLX (ST) #trading https://t.co/XtSBTugxmQ,+
b,37.33,6.5,u,g,m,h,4.25,t,t,12,t,g,93,0,"This week: @Alipay says ""smile"", $FB's huge scale, $BABA v $AMZN (but not in ecomm) and more #fintech #commerce https://t.co/e8mTIwPkWq",+
b,23.08,2.5,u,g,c,v,1.085,t,t,11,t,g,60,2184,Do $SNAP's 175+ Million Users Have Value To $AMZN's Retail Platform? https://t.co/bux6Ehoob7,+
b,32.75,1.5,u,g,cc,h,5.5,t,t,3,t,g,0,0,$AMZN AWS https://t.co/pjemBiaLSk,+
a,21.67,11.5,y,p,j,j,0,t,t,11,t,g,0,0,NEW VIDEO: Stocks to Watch $ABBV $ANTM $CELG $CNC $COG $GILD $MCHP $TMO $WYNN $AMZN $FDX $NFLX (ST) #trading https://t.co/YFVf2QvFgW,+
a,28.5,3.04,y,p,x,h,2.54,t,t,1,f,g,70,0,@Guruleaks1 comical disgusting slabs Mr. Guru lolz  $GE $AAPL $MSFT $DRYS $AMZN $NFLX $VRTX $GS $V $INTC $BAC $HD $WFC $BA $BABA,+
a,68.67,15,u,g,e,z,0,t,t,14,f,g,0,3376,@Guruleaks1 @SethCL Another disgusting slab in diapers Mr. Guru lolz cc: @Trader_Dante $GE $AAPL $MSFT $DRYS $AMZN… https://t.co/LXnXEBWTJb,+
b,28,2,u,g,k,h,4.165,t,t,2,t,g,181,0,RT @MangoCharts: Meanwhile tech stocks smell blood following confirmed double falling FAANG formation $FB $AMZN $AAPL $NFLX $GOOG https://t…,+
b,34.08,0.08,y,p,m,bb,0.04,t,t,1,t,g,280,2000,RT @TedRubin: RT @cheddar: @TedRubin’s advice to retailers in the age of Amazon. $AMZN #CheddarLIVE #RetailRelevancy https://t.co/pSkCWpwWec,+
b,27.67,2,u,g,x,h,1,t,t,4,f,g,140,7544,"https://t.co/rCLFpzEG9S $AMZN Receiving Somewhat Positive Press Coverage, Accern Reports https://t.co/e50zN1W5v4",+
b,44,2,u,g,m,v,1.75,t,t,2,t,g,0,15,"RT @CathieDWood: Data aggregators like $FB, $GOOG, and $AMZN will dominate until #blockchain services scale, commoditize #data, and bust na…",+
b,25.08,1.71,u,g,x,v,1.665,t,t,1,t,g,395,20,$AMZN Crushes The Consumer Staples ETF. What’s Next?   https://t.co/Rlob5YdxnQ $XLP $XRT $XLY,+
b,32,1.75,y,p,e,h,0.04,t,f,0,t,g,393,0,"RT @CathieDWood: Data aggregators like $FB, $GOOG, and $AMZN will dominate until #blockchain services scale, commoditize #data, and bust na…",+
a,60.58,16.5,u,g,q,v,11,t,f,0,t,g,21,10561,$BABA $AMZN:  Alibaba’s Success Story Has A Sword Of Damocles Hanging Over It:  https://t.co/gOjbG7Ff64,+
a,40.83,10,u,g,q,h,1.75,t,f,0,f,g,29,837,Distribution As a Differentiator In Retail https://t.co/e7BeMmJO4F $AMZN https://t.co/AfjZ78vT4b,+
b,19.33,9.5,u,g,q,v,1,t,f,0,t,g,60,400,"RT @CathieDWood: Data aggregators like $FB, $GOOG, and $AMZN will dominate until #blockchain services scale, commoditize #data, and bust na…",+
a,32.33,0.54,u,g,cc,v,0.04,t,f,0,f,g,440,11177,The Overlooked Casualty of the #Amazon Effect https://t.co/Ulyi1dFSTt $AMZN $CAKE $M $JCP https://t.co/RDxTs1TwdW,+
b,36.67,3.25,u,g,q,h,9,t,f,0,t,g,102,639,RT @arnabch01: #demography makes #Africa most critical #world #growth engine post 2030 overtaking #India #China $GE $IBM $GOOG $MSFT $AMZN…,+
b,37.5,1.125,y,p,d,v,1.5,f,f,0,t,g,431,0,"Thoughts From A Busy Tech Day ($APRN, $AMZN, $NFLX) https://t.co/e8nSBT3Wkh https://t.co/vel2sOsCKH",+
a,25.08,2.54,y,p,aa,v,0.25,t,f,0,t,g,370,0,"Stevens Capital Management LP Boosts Stake in https://t.co/fupOgtgpo9, Inc. $AMZN https://t.co/QA1admxjrY",+
b,41.33,0,u,g,c,bb,15,t,f,0,f,g,0,0,"RT @biggercapital: Distribution Center centric, Voice First, AI, robotics are massive trends just getting started. $AMZN $PLUG $RMGN $WMT h…",+
b,56,12.5,u,g,k,h,8,t,f,0,t,g,24,2028,Amazon's Emphasis Of Market Share Over Profits Could Keep Whole Food's Prices Low https://t.co/gJcnUKxWav $AMZN,+
a,49.83,13.585,u,g,k,h,8.5,t,f,0,t,g,0,0,"$AMZN -- this is for TOMORROW -- Tues Sept 5, 2017",+
b,22.67,10.5,u,g,q,h,1.335,t,f,0,f,g,100,0,Can $AMZN $GOOG Disrupt An Industry With Key Political Implications? https://t.co/P2u1tT40y3,+
b,27,1.5,y,p,w,v,0.375,t,f,0,t,g,260,1065,How Many US Employees Does #Saleforce Have? $crm $msft $orcl $twtr $aapl $fb $amzn $ko $pep $ibm $goog $mnk $fold… https://t.co/V8TcmXhl6d,+
b,25,12.5,u,g,aa,v,3,t,f,0,t,s,20,0,Wal-Mart and Google teaming up to take on Amazon $AMZN $QWMT https://t.co/U5L9FwUTof #euronews,+
a,26.08,8.665,u,g,aa,v,1.415,t,f,0,f,g,160,150,RT @arnabch01: #demography makes #Africa most critical #world #growth engine post 2030 overtaking #India #China $GE $IBM $GOOG $MSFT $AMZN…,+
a,18.42,9.25,u,g,q,v,1.21,t,t,4,f,g,60,540,RT @arnabch01: With #Exascale expect quantum leap in #AI #ML #robotics #Aerospace #auto #pharma $GOOG $MSFT $INTC $AAPL $AMD $AMZN $F $GM $…,+
b,20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,60,158,RT @KarinaCaddel: #AI #ArtificialIntelligence #AugmentedReality #AR #MachineLearning #MixedReality #GameDev $AMZN $GOOGL $MSFT #HoloLens #T…,+
b,47.67,0.29,u,g,c,bb,15,t,t,20,f,g,0,15000,$FB $NVDA $NFLX $GOOG $GOOGL $AMZN $TSLA $AAPL $BABA $C $GS $SPY $QQQ $UVXY https://t.co/DfJC2cQEmv Understanding Gamma,+
a,21.25,2.335,u,g,i,bb,0.5,t,t,4,f,s,80,0,$cmi a strong buy now entering electric car market and good technicals.   $f $tsla $amzn $amd $nvda,+
a,20.67,3,u,g,q,v,0.165,t,t,3,f,g,100,6,$AHGIF 1.53 should bounce up to 3.00+ easy IMO Keep a close eye on it $GWPH $IBB $SPY $AAPL $FB $AMZN $MSFT $BABA,+
a,57.08,19.5,u,g,c,v,5.5,t,t,7,f,g,0,3000,#Investors #China #debt at extreme #tech #bubble insane be very careful $GOOG $AAPL $NFLX $AMZN $FB $TSLA $MSFT… https://t.co/JauiM7qoiB,+
a,22.42,5.665,u,g,q,v,2.585,t,t,7,f,g,129,3257,$AHGIF 1.53 should bounce up to 3.00+ easy IMO Keep a close eye on it $GWPH $IBB $SPY $AAPL $FB $AMZN $MSFT $BABA,+
b,48.75,8.5,u,g,c,h,12.5,t,t,9,f,g,181,1655,RT @arnabch01: #Investors #China #debt at extreme #tech #bubble insane be very careful $GOOG $AAPL $NFLX $AMZN $FB $TSLA $MSFT $QQQ $CSCO $…,+
b,40,6.5,u,g,aa,bb,3.5,t,t,1,f,g,0,500,RT @arnabch01: #Investors #China #debt at extreme #tech #bubble insane be very careful $GOOG $AAPL $NFLX $AMZN $FB $TSLA $MSFT $QQQ $CSCO $…,+
b,40.58,5,u,g,c,v,5,t,t,7,f,g,0,3065,#China has around ten more fast growing #ecommerce giants like $BABA $JD and $AMZN more #tech #IPO @JeffreyKleintop https://t.co/RoQBxAhBiy,+
a,28.67,1.04,u,g,c,v,2.5,t,t,5,t,g,300,1430,LAST CALL: Stocks to Watch $ABBV $ANTM $CELG $CNC $COG $GILD $MCHP $TMO $WYNN $AMZN $FDX $NFLX (ST) #trading https://t.co/YFVf2QvFgW,+
a,33.08,4.625,u,g,q,h,1.625,t,t,2,f,g,0,0,RT @notyourcountry: #China has around ten more fast growing #ecommerce giants like $BABA $JD and $AMZN more #tech #IPO @JeffreyKleintop htt…,+
b,21.33,10.5,u,g,c,v,3,t,f,0,t,g,0,0,$AVID $HPE $AMZN $MSFT:  HPE Shopping Spree Continues With Purchase of This Cloud …:  https://t.co/LDljCc6dYq,+
b,42,0.205,u,g,i,h,5.125,t,f,0,f,g,400,0,MUST READ: A hostile takeover target: https://t.co/ETEddhvtYj $AMZN $AGG $YUMC $HEMP $PWE $TECK $ERBB $XOMA $LOCO $TERP,+
b,41.75,0.96,u,g,x,v,2.5,t,f,0,f,g,510,600,Is $BABA About To Become More Valuable Than $AMZN? (VOTE!) https://t.co/KBgXSyJxlj,+
b,22.67,1.585,y,p,w,v,3.085,t,t,6,f,g,80,0,RT @marketexclusive: $WMT To Use $NVDA Chips In Its Data Centers https://t.co/Pl2a3ZYj8q $WMT $TGT $AMZN,+
b,34.5,4.04,y,p,i,bb,8.5,t,t,7,t,g,195,0,Does A Portfolio Full Of “In Vogue” Stocks Beat The Market?  https://t.co/LZ7KLyX5dJ $AMZN $PYPL $GOOG $MSFT https://t.co/JfTG3e2kd1,+
b,28.25,5.04,y,p,c,bb,1.5,t,t,8,t,g,144,7,I don’t believe there is one brand that will withstand distribution through $AMZN. — https://t.co/6yrwUOkIbn https://t.co/ZjMd127qzO,+
b,33.17,3.165,y,p,x,v,3.165,t,t,3,t,g,380,0,$AMZN day low @ 20DMA of 966 area https://t.co/RtZ7bpBltH,+
b,48.17,7.625,u,g,w,h,15.5,t,t,12,f,g,0,790,@CNBCi VERY COOL TAKE ROBUST GROWTH OF #GAMING #GAMERS $NVDA $EA $ATVI $AMZN 'S @TwitchTech RELATED AND *MOORE,+
b,27.58,2.04,y,p,aa,v,2,t,t,3,t,g,370,560,RT @SeekingSatoshi: @CNBCi VERY COOL TAKE ROBUST GROWTH OF #GAMING #GAMERS $NVDA $EA $ATVI $AMZN 'S @TwitchTech RELATED AND *MOORE,+
b,22.58,10.04,u,g,x,v,0.04,t,t,9,f,g,60,396,Benzinga: Amazon's Emphasis Of Market Share Over Profits Could Keep Whole Food's Prices Low https://t.co/xUfEiBdaAb $AMZN,+
a,24.08,0.5,u,g,q,h,1.25,t,t,1,f,g,0,678,https://t.co/vX7izuyBOT $AMZN $GOOG $GOOGL $MSFT #Azure #AWS #Google #cloud #CloudComputing,+
a,41.33,1,u,g,i,bb,2.25,t,f,0,t,g,0,300,https://t.co/lVAI2P77OF $AMZN $GOOG $GOOGL $MSFT #Azure #AWS #Google #cloud #CloudComputing,+
b,24.83,2.75,u,g,c,v,2.25,t,t,6,f,g,?,600,"Advancers: $UVXY, $HIMX, $COO, $SOXS, $CDZI, $NUGT, $RGNX, $MELI, $INSM-Decliners: $MYOK, $AMZN, $CMG, $CLLS, $RCL, $NVDA, $WB, $SVXY, $BIIB",+
a,20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,49,0,RT @crushsuperbugs: Naggar's point has merit. #publishing #publishers #selfpublishing #epub #ebooks #books #authors #Amazon $AMZN #BizNews…,+
b,36.33,2.125,y,p,w,v,0.085,t,t,1,f,g,50,1187,"RT @craigbuj: ""within 3 years, Amazon, Alibaba and eBay will control 40% of planet earth’s e-commerce"" $BABA $AMZN $EBAY https://t.co/BxdxJ…",+
a,35.42,12,u,g,q,h,14,t,t,8,f,g,0,6590,TTG #option recap: $TLT $GOOG $HD $DIS $HIMX $AMZN $GDX $TSCO $TRIP $SPLK $ALGN $UVXY $NCLH $TMUS $CSX $GLNG $QQQ… https://t.co/P5N2KmPLDf,+
a,71.58,0,?,?,?,?,0,f,f,0,f,p,?,0,https://t.co/TeFZlKjL1z $COST $FB $GOOGL $GOOG $SNAP $WFM $AMZN,+
b,28.67,9.335,u,g,q,h,5.665,t,t,6,f,g,381,168,Need extra Money? https://t.co/PelR0y4Qxc is hiring and you can work from home $AMZN https://t.co/trZTKT5Pjg,+
b,35.17,2.5,u,g,k,v,4.5,t,t,7,f,g,150,1270,Commented on https://t.co/OkkfTsp6hj $AMZN $COST,+
b,39.5,4.25,u,g,c,bb,6.5,t,t,16,f,g,117,1210,RT @Drugdoctor2014: $PFWI.005- PENNY SEASON is here- we have runner! $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GO…,+
b,39.33,5.875,u,g,cc,h,10,t,t,14,t,g,399,0,RT @TradeLikeElvis: $SPY $FB $AAPL $AMZN $BAC $GS $NVDA $TSLA look at historical chart. Day after labor day is almost always a fakeout.,+
b,24.33,6.625,y,p,d,v,5.5,t,f,0,t,s,100,0,$AMZN Workers: Fear Not the Robot Apocalypse Now on https://t.co/NVD0eLru2c,+
b,60.08,14.5,u,g,ff,ff,18,t,t,15,t,g,0,1000,"Forsta AP Fonden Sells 4,700 Shares of https://t.co/UWZeN60o5M, Inc. $AMZN https://t.co/jKOjZ0BAgA",+
b,23.08,11.5,u,g,i,v,3.5,t,t,9,f,g,56,742,@MarkYusko Fred Ehrsam on cryptoccys disruption of $AMZN $FB &amp; $GOOGL https://t.co/DOJFTOhkEJ,+
b,26.67,2.71,y,p,cc,v,5.25,t,t,1,f,g,211,0,@MarkYusko Fred Ehrsam on cryptoccys disruption of $AMZN $FB &amp; $GOOGL https://t.co/DOJFTOyW3j,+
b,48.17,3.5,u,g,aa,v,3.5,t,f,0,f,s,230,0,RT @arandomwalknews: $AMZN and $PLUG make a deal to help advance Amazon's warehouses #stockmarket #investing https://t.co/NhZfmRCofC,+
b,41.17,4.04,u,g,cc,h,7,t,t,8,f,g,320,0,Today's Most Active #Options $AAPL $BAC $FB $AMD $NVDA  $BABA $AMZN $JPM See full list at https://t.co/gT09fRkjbi… https://t.co/7E2EHN7sS2,+
b,55.92,11.5,u,g,ff,ff,5,t,t,5,f,g,0,8851,RT @arnabch01: #demography makes #Africa most critical #world #growth engine post 2030 overtaking #India #China $GE $IBM $GOOG $MSFT $AMZN…,+
b,53.92,9.625,u,g,e,v,8.665,t,t,5,f,g,0,0,RT @arnabch01: #demography makes #Africa most critical #world #growth engine post 2030 overtaking #India #China $GE $IBM $GOOG $MSFT $AMZN…,+
a,18.92,9.25,y,p,c,v,1,t,t,4,t,g,80,500,$amzn to $2000 https://t.co/xq8Ti9CWnl,+
a,50.08,12.54,u,g,aa,v,2.29,t,t,3,t,g,156,0,Wal-Mart and Google teaming up to take on Amazon $AMZN $QWMT https://t.co/U5L9FwUTof #euronews,+
b,65.42,11,u,g,e,z,20,t,t,7,t,g,22,0,RT @HedgeBz: Wal-Mart and Google teaming up to take on Amazon $AMZN $QWMT https://t.co/U5L9FwUTof #euronews,+
a,17.58,9,u,g,aa,v,1.375,t,f,0,t,g,0,0,Head-To-Head Review: https://t.co/F69hmSWPzN $AMZN &amp; Liberty Interactive Corporation $QVCA https://t.co/z2qCM9OQDE,+
a,18.83,9.54,u,g,aa,v,0.085,t,f,0,f,g,100,0,Why Are $MSFT And $AMZN Joining Forces With Cortana And Alexa? via @forbes https://t.co/GBLjtZEJ0L,+
a,37.75,5.5,u,g,q,v,0.125,t,f,0,t,g,228,0,$FB $AAPL $AMZN $NFLX $GOOG:  Opinion: The Dow’s first stop could be 4000 points lower if there’s a …:  https://t.co/ZxT8wSlsKF,+
b,23.25,4,u,g,c,bb,0.25,t,f,0,t,g,160,0,#TRADING US Pre-Market Movers Gap Up /  Down $SRPT $AMZN $VYGR $GOOG $SHPG $RACE $TSLA $NVDA $EXPE $TRVG $UAL $JKS… https://t.co/YhOjVIK5WA,+
b,18.08,5.5,u,g,k,v,0.5,t,f,0,f,g,80,0,"RT @TJReazor: $AMZN with ""surge"" pricing that isn't ""surge"" pricing https://t.co/3lpixaOpgC #Irma",+
a,22.5,8.46,y,p,x,v,2.46,f,f,0,f,g,164,0,Why #Alibaba Will Reach $200 $BABA $AMZN https://t.co/Ah4GxAO53I,+
b,19.67,0.375,u,g,q,v,2,t,t,2,t,g,80,0,There's actually an analyst 🤡 predicts $AMZN '21 EPS at $46.90 vs $03.67 '17   Can't make this up   $XRT $RTH $WMT $TGT $ORCL $MSFT $GOOG $M,+
b,22.08,11,u,g,cc,v,0.665,t,f,0,f,g,100,0,#Serverless   @kubeless_sh + #Kubernetes on @awscloud - YES YOU CAN!  $AMZN #AWS  https://t.co/RobzLXBFxZ,+
b,25.17,3.5,u,g,cc,v,0.625,t,t,7,f,g,0,7059,$AMZN not sure --but it just MIGHT try for a DOUBLE bottom @ the 936 area again ? the 144 DMA @ MAYBE 939 area ? wh… https://t.co/ZQqIUCRZOQ,+
a,47.42,3,u,g,x,v,13.875,t,t,2,t,g,519,1704,LIVE: Kohl's to sell Amazon's Echo &amp; Fire TV in October $KSS $AMZN - https://t.co/hEOrFHM99r https://t.co/7v8GcXwHti,+
b,33.5,1.75,u,g,x,h,4.5,t,t,4,t,g,253,857,RT @arnabch01: #AI #ML #Iot #Robotics t ensure dramatic #productivity gain by2035 extreme #poverty will vanish from #world $MSFT $AMZN $FB…,+
b,27.67,13.75,u,g,w,v,5.75,t,f,0,t,g,487,500,RT @YahooFinance: LIVE: Kohl's to sell Amazon's Echo &amp; Fire TV in October $KSS $AMZN - https://t.co/hEOrFHM99r https://t.co/7v8GcXwHti,+
a,58.42,21,u,g,i,bb,10,t,t,13,f,g,0,6700,YahooFinance: LIVE: Kohl's to sell Amazon's Echo &amp; Fire TV in October $KSS $AMZN - https://t.co/sAIs3pF5oY … https://t.co/ZVucMkv0Uy,+
a,20.67,1.835,u,g,q,v,2.085,t,t,5,f,g,220,2503,I highly recommend trying this out for finding good stocks to trade https://t.co/em4DCruoVT $AUPH $AAPL $AMZN https://t.co/GWU2JNqea7,+
b,26.17,0.25,u,g,i,bb,0,t,f,0,t,g,0,0,Kohl's teaming up with Amazon on in-store smart-home zones in two markets: https://t.co/Sraax3Zwlg $AMZN $KSS https://t.co/gzNSq2nn9d,+
b,21.33,7.5,u,g,aa,v,1.415,t,t,1,f,g,80,9800,EU might change tax rules for digital companies; Home and Echo getting BBC stories https://t.co/83ZobEMC2D $GOOG $GOOGL $AMZN,+
b,42.83,4.625,u,g,q,v,4.58,t,f,0,f,s,0,0,EU might change tax rules for digital companies; Home and Echo getting BBC stories https://t.co/tJnaVDjG8C $GOOG $GOOGL $AMZN,+
b,38.17,10.125,u,g,x,v,2.5,t,t,6,f,g,520,196,EU might change tax rules for digital companies; Home and Echo getting BBC stories https://t.co/p7ICCBoFVk $GOOG $GOOGL $AMZN,+
b,20.5,10,y,p,c,v,2.5,t,f,0,f,s,40,0,"#Walmart Will Use #NVIDIA and #AI to Dump #AWS @themotleyfool #stocks $AMZN, $WMT, $NVDA #GPU #Nvidia #AWS #DL #ML https://t.co/MviIniz0cm",+
b,48.25,25.085,u,g,w,v,1.75,t,t,3,f,g,120,14,Get in on top and earn big COMMISSIONS fast! This site just launched! $FB $AAPL $BABA $AMZN $GOOGL $SPY ..JOIN NOW:… https://t.co/4rWimFIO48,+
b,28.33,5,u,g,w,v,11,t,f,0,t,g,70,0,Short Setups to Watch in the Days Ahead - SharePlanner $AMZN $AAL $AAOI $DIS $C + More https://t.co/dtmkwDheo6,+
a,18.75,7.5,u,g,q,v,2.71,t,t,5,f,g,?,26726,"https://t.co/RveuMUDuNh, Inc. $AMZN Stock Rating Reaffirmed by Royal Bank Of Canada https://t.co/tlOYzxADAa",+
b,18.5,2,u,g,i,v,1.5,t,t,2,f,g,120,300,RT @theflynews: Baird speculates if Kohl's could be takeover target for Amazon $KSS $AMZN https://t.co/OsAtBBO92k,+
b,33.17,3.04,y,p,c,h,2.04,t,t,1,t,g,180,18027,I really recommend everyone check this out for discovering good stocks to trade https://t.co/v4iKc0v69a $AMGN $AMZN… https://t.co/vGCMNCf6Ff,+
b,45,8.5,u,g,cc,h,14,t,t,1,t,g,88,2000,"Joined Mac G. on @MarketFoolery to talk Amazon, Kohl's, Dave &amp; Buster's, and investing mistakes. $AMZN $KSS $PLAY https://t.co/2Baxj3evii",+
a,19.67,0.21,u,g,q,h,0.29,t,t,11,f,g,80,99,$KSS to open $AMZN shops in 10 of its stores is probably the worst idea since $AMZN fire phone. Waste of saleable area at premium rent cost.,+
?,24.5,12.75,u,g,c,bb,4.75,t,t,2,f,g,73,444,Not the first time $AMZN  looked like it looks now. Will history repeat? https://t.co/7Fw3Dn0u2i,+
b,21.83,11,u,g,x,v,0.29,t,t,6,f,g,121,0,tomorrow will be a down day for the fan stocks $CRM $AMZN $NFLX $TSLA $FB - stay thirsty,+
b,40.25,21.5,u,g,e,z,20,t,t,11,f,g,0,1200,"RT @TedRubin: RT @cheddar: Kohl’s opening Amazon shops in stores, @TedRubin says its getting the short end of the deal. $AMZN $KSS https://…",+
b,41.42,5,u,g,q,h,5,t,t,6,t,g,470,0,$AAPL $FB $NFLX $AMZN $GOOG $GOOGL $MSFT $STX Some pullback possible. Market weakened.,+
a,17.83,11,u,g,x,h,1,t,t,11,f,g,0,3000,$AMZN $TGT:  Amazon Stock Will Survive as Target takes its business elsewhere:  https://t.co/V8gtfTqHcS,+
b,23.17,11.125,u,g,x,h,0.46,t,t,1,f,g,100,0,"RT @OptionsAction: Between $AMZN and $BABA, @Michael_Khouw is betting on the Chinese e-commerce giant for a rally https://t.co/tIgU8OXDGN",+
b,?,0.625,u,g,k,v,0.25,f,f,0,f,g,380,2010,#WiadomościRynkowe $XOM $AMZN $HD $SHLD https://t.co/4TQnc8pNzJ,-
b,18.17,10.25,u,g,c,h,1.085,f,f,0,f,g,320,13,$AMZN - Amazon Opens Search for Second Headquarters City in North America https://t.co/38naaVLbfp,-
b,20,11.045,u,g,c,v,2,f,f,0,t,g,136,0,$AMZN - Amazon Opens Search for Second Headquarters City in North America https://t.co/d2Kkaei7EE,-
b,20,0,u,g,d,v,0.5,f,f,0,f,g,144,0,"Amazon starts search for second headquarter location, plans Barcelona R&amp;D hub https://t.co/svFdEQABSQ $AMZN",-
a,20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,200,1000,"Well, Oklahoma City has the supersonics. $amzn #ThunderUp @okcchamber https://t.co/bDDP5zapE6",-
a,24.5,1.75,y,p,c,v,0.165,f,f,0,f,g,132,0,"Early movers: $AMZN, $GPRO, $FEYE, $RH, $RCL, $PG, $CBS, $AZN &amp; more https://t.co/v1hPRCsL6P",-
b,32.75,2.335,u,g,d,h,5.75,f,f,0,t,g,292,0,"Early movers: $AMZN, $GPRO, $FEYE, $RH, $RCL, $PG, $CBS, $AZN &amp; more  https://t.co/IYi3wVmJR8",-
a,52.17,0,y,p,ff,ff,0,f,f,0,f,g,0,0,RT @racernic: #FANG gang vs. the S&amp;P $FB $AMZN $NFLX $GOOGL $GOOG v $SPY https://t.co/KfAfQ6TqWv https://t.co/2GA6hCRbAx,-
a,48.17,1.335,u,g,i,o,0.335,f,f,0,f,g,0,120,RT @lisahopeking: Why open your own stores when you can just leech off struggling retailers which by the way are struggling bc you :D $AMZN…,-
a,20.42,10.5,y,p,x,h,0,f,f,0,t,g,154,32,Amazon is looking to build a second U.S. headquarters worth $5 billion https://t.co/fK8sMGUfst przez @technology $AMZN,-
b,50.75,0.585,u,g,ff,ff,0,f,f,0,f,g,145,0,@jpmgoncalves hey $AMZN shareholder buddy,-
b,17.08,0.085,y,p,c,v,0.04,f,f,0,f,g,140,722,"RT @YahooFinance: ""Any city is up for grabs. It's really exciting."" @readDanwrite on $AMZN's new HQ location - https://t.co/JJBE8FWAC0 http…",-
b,18.33,1.21,y,p,e,dd,0,f,f,0,f,g,100,0,RT @YahooFinance: LIVE: Amazon to add second headquarters with up to 50000 jobs $AMZN - @readDanwrite has the latest https://t.co/JJBE8FWAC…,-
